,words,roots,s1,s2,s3,sequence,t1,t2,t3,rand
389,bramaltudeic,bram,al,tude,ic,AN_NA_AN,AN,NA,AN,0.7371904
546,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.896144388
99,winnipemence,winnipem,ence,,,NA_NN_VN,NA,,,0.522008953
663,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.83857836
24,winnipemist,winnipem,ist,,,NN_VN_NV,NN,,,0.677849401
556,sabamagery,sabam,age,ry,,NV_NN_AN,NV,NN,,0.513693223
96,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.696686748
154,sabamtudeade,sabam,tude,ade,,NA_NN_AN,NA,NN,,0.298919897
80,bramadealtude,bram,ade,al,tude,NN_AN_NA,NN,AN,NA,0.832686964
673,sabamoral,sabam,or,al,,NV_AN_NA,NV,AN,,0.867191694
465,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.693342262
431,bramentenceize,bram,ent,ence,ize,AV_NA_VN,AV,NA,VN,0.874079666
294,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.490399566
343,sabamictude,sabam,ic,tude,,AN_NA_VN,AN,NA,,0.577728357
601,sabamorize,sabam,or,ize,,NV_VN_AV,NV,VN,,0.66683668
202,sabamenceic,sabam,ence,ic,,NA_AN_NA,NA,AN,,0.933842406
451,sabamenttude,sabam,ent,tude,,AV_NA_AN,AV,NA,,0.561884186
316,sabamfultude,sabam,ful,tude,,AN_NA_NN,AN,NA,,0.910034697
252,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.11552837
378,winnipemful,winnipem,ful,,,AN_NA_AN,AN,,,0.389118219
639,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.491481424
621,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.593087168
46,sabamistic,sabam,ist,ic,,NN_AN_NA,NN,AN,,0.101535913
509,bramureistful,bram,ure,ist,ful,NV_NN_AN,NV,NN,AN,0.136004214
244,sabamizeage,sabam,ize,age,,VN_NV_NN,VN,NV,,0.991894817
238,sabamizeure,sabam,ize,ure,,VN_NV_NN,VN,NV,,0.161876611
166,sabamtudery,sabam,tude,ry,,NA_NN_AN,NA,NN,,0.973140412
6,winnipemade,winnipem,ade,,,NN_VN_AV,NN,,,0.792066931
447,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.894675191
39,winnipemry,winnipem,ry,,,NN_VN_NV,NN,,,0.459802474
100,sabamenceist,sabam,ence,ist,,NA_NN_VN,NA,NN,,0.837344285
338,bramaltudery,bram,al,tude,ry,AN_NA_NN,AN,NA,NN,0.723483193
174,winnipemence,winnipem,ence,,,NA_VN_AV,NA,,,0.527090882
661,sabamoric,sabam,or,ic,,NV_AN_NA,NV,AN,,0.313553722
328,sabamalence,sabam,al,ence,,AN_NA_NN,AN,NA,,0.92981306
518,bramureadeful,bram,ure,ade,ful,NV_NN_AN,NV,NN,AN,0.627768387
221,bramizeentence,bram,ize,ent,ence,VN_AV_NA,VN,AV,NA,0.493337286
9,winnipemade,winnipem,ade,,,NN_VN_AV,NN,,,0.479352194
52,sabamistful,sabam,ist,ful,,NN_AN_NA,NN,AN,,0.974141607
111,winnipemtude,winnipem,tude,,,NA_NN_VN,NA,,,0.836245386
10,sabamadeize,sabam,ade,ize,,NN_VN_AV,NN,VN,,0.558137812
454,sabamenttude,sabam,ent,tude,,AV_NA_AN,AV,NA,,0.284088731
348,winnipemful,winnipem,ful,,,AN_NA_VN,AN,,,0.804214426
76,sabamadeal,sabam,ade,al,,NN_AN_NA,NN,AN,,0.310695819
112,sabamtudeade,sabam,tude,ade,,NA_NN_VN,NA,NN,,0.96129424
325,sabamalence,sabam,al,ence,,AN_NA_NN,AN,NA,,0.395888783
426,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.000171707
49,sabamistic,sabam,ist,ic,,NN_AN_NA,NN,AN,,0.290210082
42,winnipemry,winnipem,ry,,,NN_VN_NV,NN,,,0.9113373
540,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.575747726
598,sabamorize,sabam,or,ize,,NV_VN_AV,NV,VN,,0.327335057
362,bramicenceal,bram,ic,ence,al,AN_NA_AN,AN,NA,AN,0.289071163
664,sabamorful,sabam,or,ful,,NV_AN_NA,NV,AN,,0.036937722
205,sabamenceful,sabam,ence,ful,,NA_AN_NA,NA,AN,,0.182423333
345,winnipemful,winnipem,ful,,,AN_NA_VN,AN,,,0.366551886
313,sabamfultude,sabam,ful,tude,,AN_NA_NN,AN,NA,,0.617986303
64,sabamadeic,sabam,ade,ic,,NN_AN_NA,NN,AN,,0.982510352
428,bramitetudery,bram,ite,tude,ry,AV_NA_NN,AV,NA,NN,0.851485853
417,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.20802999
652,sabamageal,sabam,age,al,,NV_AN_NA,NV,AN,,0.299313867
624,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.124251191
62,bramistaltude,bram,ist,al,tude,NN_AN_NA,NN,AN,NA,0.057133094
203,bramenceictude,bram,ence,ic,tude,NA_AN_NA,NA,AN,NA,0.07675926
516,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.976163569
130,sabamenceade,sabam,ence,ade,,NA_NN_AN,NA,NN,,0.572813763
589,sabamureize,sabam,ure,ize,,NV_VN_AV,NV,VN,,0.251883671
577,sabamorry,sabam,or,ry,,NV_NN_AN,NV,NN,,0.129900942
70,sabamadeful,sabam,ade,ful,,NN_AN_NA,NN,AN,,0.673308505
527,bramureryful,bram,ure,ry,ful,NV_NN_AN,NV,NN,AN,0.291896577
347,bramfulenceize,bram,ful,ence,ize,AN_NA_VN,AN,NA,VN,0.985414083
641,bramageicence,bram,age,ic,ence,NV_AN_NA,NV,AN,NA,0.909378273
198,winnipemtude,winnipem,tude,,,NA_VN_NV,NA,,,0.962897849
649,sabamageful,sabam,age,ful,,NV_AN_NA,NV,AN,,0.752770765
71,bramadefulence,bram,ade,ful,ence,NN_AN_NA,NN,AN,NA,0.771870551
19,sabamistize,sabam,ist,ize,,NN_VN_NV,NN,VN,,0.028402851
391,sabamaltude,sabam,al,tude,,AN_NA_AN,AN,NA,,0.805460357
207,winnipemence,winnipem,ence,,,NA_AN_NA,NA,,,0.501706585
186,winnipemence,winnipem,ence,,,NA_VN_NV,NA,,,0.858796931
560,bramoristic,bram,or,ist,ic,NV_NN_AN,NV,NN,AN,0.18371521
132,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.740748845
213,winnipemtude,winnipem,tude,,,NA_AN_NA,NA,,,0.086183882
299,bramictudeade,bram,ic,tude,ade,AN_NA_NN,AN,NA,NN,0.755364948
334,sabamaltude,sabam,al,tude,,AN_NA_NN,AN,NA,,0.954339563
481,sabamureade,sabam,ure,ade,,NV_NN_VN,NV,NN,,0.971528494
545,bramageadeful,bram,age,ade,ful,NV_NN_AN,NV,NN,AN,0.658280785
384,winnipemal,winnipem,al,,,AN_NA_AN,AN,,,0.558773027
284,bramizeoral,bram,ize,or,al,VN_NV_AN,VN,NV,AN,0.149466274
542,bramageadeic,bram,age,ade,ic,NV_NN_AN,NV,NN,AN,0.544633442
470,bramitetudeic,bram,ite,tude,ic,AV_NA_AN,AV,NA,AN,0.570903877
480,winnipemure,winnipem,ure,,,NV_NN_VN,NV,,,0.149930581
548,bramageadeal,bram,age,ade,al,NV_NN_AN,NV,NN,AN,0.29268082
471,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.310604721
620,bramorizeage,bram,or,ize,age,NV_VN_NV,NV,VN,NV,0.395556639
2,bramistizeent,bram,ist,ize,ent,NN_VN_AV,NN,VN,AV,0.923909919
144,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.365587249
240,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.068533751
432,winnipement,winnipem,ent,,,AV_NA_VN,AV,,,0.663221835
393,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.08704308
600,winnipemor,winnipem,or,,,NV_VN_AV,NV,,,0.817865255
47,bramisticence,bram,ist,ic,ence,NN_AN_NA,NN,AN,NA,0.751280492
78,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.923920715
60,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.54755179
93,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.77521044
512,bramureistal,bram,ure,ist,al,NV_NN_AN,NV,NN,AN,0.492888931
550,sabamagery,sabam,age,ry,,NV_NN_AN,NV,NN,,0.386838429
552,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.815924371
282,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.300898861
657,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.07742383
243,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.924932698
410,bramenttudery,bram,ent,tude,ry,AV_NA_NN,AV,NA,NN,0.161988341
193,sabamtudeize,sabam,tude,ize,,NA_VN_NV,NA,VN,,0.404525225
425,bramitetudeade,bram,ite,tude,ade,AV_NA_NN,AV,NA,NN,0.172229262
153,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.186894312
170,bramtuderyal,bram,tude,ry,al,NA_NN_AN,NA,NN,AN,0.552784199
586,sabamureize,sabam,ure,ize,,NV_VN_AV,NV,VN,,0.749262082
137,bramenceryic,bram,ence,ry,ic,NA_NN_AN,NA,NN,AN,0.665618288
555,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.636369104
473,bramitetudeful,bram,ite,tude,ful,AV_NA_AN,AV,NA,AN,0.571902196
161,bramtudeadeal,bram,tude,ade,al,NA_NN_AN,NA,NN,AN,0.501267774
291,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.582095728
506,bramureistic,bram,ure,ist,ic,NV_NN_AN,NV,NN,AN,0.707064886
672,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.463292132
526,sabamurery,sabam,ure,ry,,NV_NN_AN,NV,NN,,0.581540143
90,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.9907854
445,sabamentence,sabam,ent,ence,,AV_NA_AN,AV,NA,,0.01260957
487,sabamageist,sabam,age,ist,,NV_NN_VN,NV,NN,,0.323101814
146,bramtudeistic,bram,tude,ist,ic,NA_NN_AN,NA,NN,AN,0.49183211
272,bramizeageful,bram,ize,age,ful,VN_NV_AN,VN,NV,AN,0.859365473
185,bramenceizeure,bram,ence,ize,ure,NA_VN_NV,NA,VN,NV,0.962314628
333,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.258990482
606,winnipemure,winnipem,ure,,,NV_VN_NV,NV,,,0.47297185
311,bramfulencery,bram,ful,ence,ry,AN_NA_NN,AN,NA,NN,0.353339433
642,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.235320041
617,bramorizeure,bram,or,ize,ure,NV_VN_NV,NV,VN,NV,0.446005854
604,sabamureize,sabam,ure,ize,,NV_VN_NV,NV,VN,,0.566213647
429,winnipement,winnipem,ent,,,AV_NA_VN,AV,,,0.108468841
253,sabamizeor,sabam,ize,or,,VN_NV_NN,VN,NV,,0.746242051
557,bramageryal,bram,age,ry,al,NV_NN_AN,NV,NN,AN,0.280644003
635,bramurealence,bram,ure,al,ence,NV_AN_NA,NV,AN,NA,0.642157584
665,bramorfulence,bram,or,ful,ence,NV_AN_NA,NV,AN,NA,0.63441518
562,sabamorist,sabam,or,ist,,NV_NN_AN,NV,NN,,0.328115373
456,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.905915143
51,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.57327606
109,sabamtudeist,sabam,tude,ist,,NA_NN_VN,NA,NN,,0.571300025
296,bramictudeist,bram,ic,tude,ist,AN_NA_NN,AN,NA,NN,0.250985884
121,sabamenceist,sabam,ence,ist,,NA_NN_AN,NA,NN,,0.434000815
387,winnipemal,winnipem,al,,,AN_NA_AN,AN,,,0.285887246
200,bramtudeizeor,bram,tude,ize,or,NA_VN_NV,NA,VN,NV,0.025221525
367,sabamictude,sabam,ic,tude,,AN_NA_AN,AN,NA,,0.629951864
192,winnipemtude,winnipem,tude,,,NA_VN_NV,NA,,,0.370899871
28,sabamadeize,sabam,ade,ize,,NN_VN_NV,NN,VN,,0.55413433
559,sabamorist,sabam,or,ist,,NV_NN_AN,NV,NN,,0.112361114
310,sabamfulence,sabam,ful,ence,,AN_NA_NN,AN,NA,,0.49037491
235,sabamizeure,sabam,ize,ure,,VN_NV_NN,VN,NV,,0.94060703
442,sabamentence,sabam,ent,ence,,AV_NA_AN,AV,NA,,0.551705825
57,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.72739842
599,bramorizeent,bram,or,ize,ent,NV_VN_AV,NV,VN,AV,0.554953418
297,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.001030023
376,sabamfultude,sabam,ful,tude,,AN_NA_AN,AN,NA,,0.570894807
118,sabamenceist,sabam,ence,ist,,NA_NN_AN,NA,NN,,0.43060666
636,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.919310426
570,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.452534433
138,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.522838621
159,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.276060202
623,bramureicence,bram,ure,ic,ence,NV_AN_NA,NV,AN,NA,0.298610739
414,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.749366334
411,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.933457195
324,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.306126309
242,bramizeageist,bram,ize,age,ist,VN_NV_NN,VN,NV,NN,0.534824504
650,bramagefultude,bram,age,ful,tude,NV_AN_NA,NV,AN,NA,0.174428642
145,sabamtudeist,sabam,tude,ist,,NA_NN_AN,NA,NN,,0.343407831
519,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.725767931
499,sabamorade,sabam,or,ade,,NV_NN_VN,NV,NN,,0.311047892
219,winnipemize,winnipem,ize,,,VN_AV_NA,VN,,,0.869492911
160,sabamtudeade,sabam,tude,ade,,NA_NN_AN,NA,NN,,0.930236092
139,sabamencery,sabam,ence,ry,,NA_NN_AN,NA,NN,,0.607723886
382,sabamalence,sabam,al,ence,,AN_NA_AN,AN,NA,,0.338601468
79,sabamadeal,sabam,ade,al,,NN_AN_NA,NN,AN,,0.834480017
34,sabamadeize,sabam,ade,ize,,NN_VN_NV,NN,VN,,0.723798399
405,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.239751167
305,bramfulenceist,bram,ful,ence,ist,AN_NA_NN,AN,NA,NN,0.683968091
613,sabamageize,sabam,age,ize,,NV_VN_NV,NV,VN,,0.825100383
119,bramenceistic,bram,ence,ist,ic,NA_NN_AN,NA,NN,AN,0.531418433
336,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.609528347
488,bramageistize,bram,age,ist,ize,NV_NN_VN,NV,NN,VN,0.703699485
103,sabamenceade,sabam,ence,ade,,NA_NN_VN,NA,NN,,0.82610023
495,winnipemor,winnipem,or,,,NV_NN_VN,NV,,,0.887460183
4,sabamistize,sabam,ist,ize,,NN_VN_AV,NN,VN,,0.945618147
301,sabamictude,sabam,ic,tude,,AN_NA_NN,AN,NA,,0.832812481
41,bramryizeage,bram,ry,ize,age,NN_VN_NV,NN,VN,NV,0.458245211
33,winnipemade,winnipem,ade,,,NN_VN_NV,NN,,,0.789225754
95,bramryalence,bram,ry,al,ence,NN_AN_NA,NN,AN,NA,0.378077152
363,winnipemic,winnipem,ic,,,AN_NA_AN,AN,,,0.31505171
114,winnipemtude,winnipem,tude,,,NA_NN_VN,NA,,,0.55060853
87,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.91905352
148,sabamtudeist,sabam,tude,ist,,NA_NN_AN,NA,NN,,0.669316686
651,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.239365821
40,sabamryize,sabam,ry,ize,,NN_VN_NV,NN,VN,,0.505257531
274,sabamizeage,sabam,ize,age,,VN_NV_AN,VN,NV,,0.224208087
59,bramistalence,bram,ist,al,ence,NN_AN_NA,NN,AN,NA,0.960583672
251,bramizeorist,bram,ize,or,ist,VN_NV_NN,VN,NV,NN,0.818814855
490,sabamageade,sabam,age,ade,,NV_NN_VN,NV,NN,,0.415259807
262,sabamizeure,sabam,ize,ure,,VN_NV_AN,VN,NV,,0.093201797
413,bramiteenceist,bram,ite,ence,ist,AV_NA_NN,AV,NA,NN,0.954882436
443,bramentenceic,bram,ent,ence,ic,AV_NA_AN,AV,NA,AN,0.615935741
194,bramtudeizeure,bram,tude,ize,ure,NA_VN_NV,NA,VN,NV,0.040348915
500,bramoradeize,bram,or,ade,ize,NV_NN_VN,NV,NN,VN,0.962487987
615,winnipemor,winnipem,or,,,NV_VN_NV,NV,,,0.764526326
135,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.715550335
228,winnipemize,winnipem,ize,,,VN_AV_NA,VN,,,0.634632483
461,bramiteenceic,bram,ite,ence,ic,AV_NA_AN,AV,NA,AN,0.82983244
124,sabamenceist,sabam,ence,ist,,NA_NN_AN,NA,NN,,0.673485382
342,winnipemic,winnipem,ic,,,AN_NA_VN,AN,,,0.023865793
607,sabamureize,sabam,ure,ize,,NV_VN_NV,NV,VN,,0.257036227
561,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.671055653
38,bramryizeure,bram,ry,ize,ure,NN_VN_NV,NN,VN,NV,0.669006646
215,bramtudefulence,bram,tude,ful,ence,NA_AN_NA,NA,AN,NA,0.189812897
423,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.145915945
590,bramureizeite,bram,ure,ize,ite,NV_VN_AV,NV,VN,AV,0.051957297
303,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.675915506
117,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.621050208
307,sabamfulence,sabam,ful,ence,,AN_NA_NN,AN,NA,,0.527127361
314,bramfultudeist,bram,ful,tude,ist,AN_NA_NN,AN,NA,NN,0.387165064
201,winnipemence,winnipem,ence,,,NA_AN_NA,NA,,,0.243477805
472,sabamitetude,sabam,ite,tude,,AV_NA_AN,AV,NA,,0.774855571
126,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.566372381
436,sabamiteence,sabam,ite,ence,,AV_NA_VN,AV,NA,,0.146759201
659,bramoricence,bram,or,ic,ence,NV_AN_NA,NV,AN,NA,0.832964962
538,sabamageist,sabam,age,ist,,NV_NN_AN,NV,NN,,0.548689791
84,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.795159113
400,sabamentence,sabam,ent,ence,,AV_NA_NN,AV,NA,,0.248191424
508,sabamureist,sabam,ure,ist,,NV_NN_AN,NV,NN,,0.290680438
89,bramryfulence,bram,ry,ful,ence,NN_AN_NA,NN,AN,NA,0.257923039
482,bramureadeize,bram,ure,ade,ize,NV_NN_VN,NV,NN,VN,0.468487321
631,sabamureful,sabam,ure,ful,,NV_AN_NA,NV,AN,,0.972627049
304,sabamfulence,sabam,ful,ence,,AN_NA_NN,AN,NA,,0.04842315
3,winnipemist,winnipem,ist,,,NN_VN_AV,NN,,,0.592063162
147,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.224527055
396,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.250942936
110,bramtudeistize,bram,tude,ist,ize,NA_NN_VN,NA,NN,VN,0.430386658
359,bramicenceful,bram,ic,ence,ful,AN_NA_AN,AN,NA,AN,0.526853023
74,bramadefultude,bram,ade,ful,tude,NN_AN_NA,NN,AN,NA,0.801324249
120,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.736464514
435,winnipemite,winnipem,ite,,,AV_NA_VN,AV,,,0.664932635
628,sabamureful,sabam,ure,ful,,NV_AN_NA,NV,AN,,0.202214276
267,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.499624311
535,sabamageist,sabam,age,ist,,NV_NN_AN,NV,NN,,0.116514187
218,bramtudealence,bram,tude,al,ence,NA_AN_NA,NA,AN,NA,0.481468181
12,winnipemry,winnipem,ry,,,NN_VN_AV,NN,,,0.142652582
0,winnipemist,winnipem,ist,,,NN_VN_AV,NN,,,0.640374378
409,sabamenttude,sabam,ent,tude,,AV_NA_NN,AV,NA,,0.068712758
530,bramureryal,bram,ure,ry,al,NV_NN_AN,NV,NN,AN,0.804841275
418,sabamiteence,sabam,ite,ence,,AV_NA_NN,AV,NA,,0.164774437
14,bramryizeent,bram,ry,ize,ent,NN_VN_AV,NN,VN,AV,0.838964582
402,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.320021464
574,sabamorade,sabam,or,ade,,NV_NN_AN,NV,NN,,0.295047017
292,sabamicence,sabam,ic,ence,,AN_NA_NN,AN,NA,,0.605113313
181,sabamtudeize,sabam,tude,ize,,NA_VN_AV,NA,VN,,0.955685943
440,bramitetudeize,bram,ite,tude,ize,AV_NA_VN,AV,NA,VN,0.440346557
229,sabamizeite,sabam,ize,ite,,VN_AV_NA,VN,AV,,0.445326231
199,sabamtudeize,sabam,tude,ize,,NA_VN_NV,NA,VN,,0.509755173
517,sabamureade,sabam,ure,ade,,NV_NN_AN,NV,NN,,0.808928604
566,bramoristal,bram,or,ist,al,NV_NN_AN,NV,NN,AN,0.853700451
322,sabamalence,sabam,al,ence,,AN_NA_NN,AN,NA,,0.295119908
326,bramalenceade,bram,al,ence,ade,AN_NA_NN,AN,NA,NN,0.715537433
368,bramictudeal,bram,ic,tude,al,AN_NA_AN,AN,NA,AN,0.744935354
258,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.725776441
173,bramenceizeent,bram,ence,ize,ent,NA_VN_AV,NA,VN,AV,0.295341436
434,bramenttudeize,bram,ent,tude,ize,AV_NA_VN,AV,NA,VN,0.055830411
537,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.955162631
479,bramureistize,bram,ure,ist,ize,NV_NN_VN,NV,NN,VN,0.95397379
437,bramiteenceize,bram,ite,ence,ize,AV_NA_VN,AV,NA,VN,0.362037783
98,bramryaltude,bram,ry,al,tude,NN_AN_NA,NN,AN,NA,0.328129774
585,winnipemure,winnipem,ure,,,NV_VN_AV,NV,,,0.92454311
320,bramfultudery,bram,ful,tude,ry,AN_NA_NN,AN,NA,NN,0.186059067
260,bramizeureic,bram,ize,ure,ic,VN_NV_AN,VN,NV,AN,0.147232931
616,sabamorize,sabam,or,ize,,NV_VN_NV,NV,VN,,0.010403662
91,sabamryful,sabam,ry,ful,,NN_AN_NA,NN,AN,,0.585401618
122,bramenceistful,bram,ence,ist,ful,NA_NN_AN,NA,NN,AN,0.502666257
476,bramitetudeal,bram,ite,tude,al,AV_NA_AN,AV,NA,AN,0.568527925
603,winnipemure,winnipem,ure,,,NV_VN_NV,NV,,,0.321561769
353,bramalenceize,bram,al,ence,ize,AN_NA_VN,AN,NA,VN,0.809126529
236,bramizeureade,bram,ize,ure,ade,VN_NV_NN,VN,NV,NN,0.049218984
614,bramageizeor,bram,age,ize,or,NV_VN_NV,NV,VN,NV,0.437022101
256,sabamizeor,sabam,ize,or,,VN_NV_NN,VN,NV,,0.389837612
88,sabamryful,sabam,ry,ful,,NN_AN_NA,NN,AN,,0.645988314
640,sabamageic,sabam,age,ic,,NV_AN_NA,NV,AN,,0.934085569
295,sabamictude,sabam,ic,tude,,AN_NA_NN,AN,NA,,0.176939945
594,winnipemage,winnipem,age,,,NV_VN_AV,NV,,,0.905407297
543,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.040284543
82,sabamryic,sabam,ry,ic,,NN_AN_NA,NN,AN,,0.0497202
380,bramfultudeal,bram,ful,tude,al,AN_NA_AN,AN,NA,AN,0.11754026
330,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.856259878
208,sabamenceal,sabam,ence,al,,NA_AN_NA,NA,AN,,0.479680751
211,sabamtudeic,sabam,tude,ic,,NA_AN_NA,NA,AN,,0.676341362
356,bramaltudeize,bram,al,tude,ize,AN_NA_VN,AN,NA,VN,0.477367261
